Data_Point,H_form_pareto_k,B_form_pareto_k
253,-0.061381441183122894,-0.03691647514778613
254,-0.04766321511293021,-0.027011920877401292
255,-0.04715538578722103,-0.020259651192452127
256,-0.025807159094317467,-0.022410501944408044
257,-0.049820174786250504,-0.025099648636890064
258,-0.09647622029070486,-0.1355186892317525
259,-0.09865305335949325,-0.13741905134893778
260,-0.09768306573881264,-0.13735250296090318
261,-0.10036906784546665,-0.13748527583798206
262,-0.10119848417302842,-0.13646468797801578
263,-0.10074199701168826,-0.135887738136221
264,-0.1025557535544685,-0.13674717022264277
265,-0.10251587759547773,-0.13694473517087843
266,-0.10167204307798382,-0.13703941113583376
267,-0.10275738714782907,-0.1353015877822073
268,-0.10522841250001236,-0.13953256193231733
269,-0.10770784303949046,-0.13727270493684846
270,-0.10282357894158767,-0.13848886875381586
271,-0.10484698729905699,-0.1400276132170028
272,-0.10516041187178392,-0.14159707715429465
273,-0.10335950249728713,-0.14109405063840696
274,-0.10557823746226604,-0.14172379318665212
275,-0.10539940748362922,-0.1404603660816603
276,-0.10429458889347905,-0.1407765520328454
277,-0.10292058945199373,-0.13780499693115777
278,-0.1013489809798214,-0.13765576852973782
279,-0.09949054131588744,-0.13891484759826486
280,-0.10067028508364745,-0.14162792910708602
281,-0.09922084188700353,-0.1429189750033162
282,-0.0993417207732577,-0.14351244262251242
283,-0.09853417471429196,-0.14372645402906
284,-0.09771786123173438,-0.14250170644803223
285,-0.10491143232779813,-0.14216076242916342
286,-0.10446094437696232,-0.1389307385170645
287,-0.110678004985078,-0.139027468871244
288,-0.10559518536574602,-0.13896170704622016
289,-0.10905478035007046,-0.13664312579274276
290,-0.10862292266075992,-0.1403099570306184
291,-0.10833160031286782,-0.14290875980354167
292,-0.10503579348722324,-0.1478513971768764
293,-0.005196454738173648,-0.07498394369107944
294,0.026942138325377365,-0.08202860298914183
295,0.015753460860282724,-0.0786914389862466
296,-0.007570603946928647,-0.09187383853414186
297,-0.038775577414941295,-0.11907525918651302
298,-0.04920742958291394,-0.11740946985027442
299,-0.04469427159692109,-0.08975092895855707
300,-0.013805381347024208,-0.06868741141833691
301,-0.018936897244178,-0.06055199747966611
302,-0.04690304154919276,-0.06140757134936434
303,-0.057791448662245476,-0.016929199223301133
304,-0.06335705664527588,-0.027357335127958432
305,-0.0036974333135527003,-0.10800163475888558
306,-0.002173303565549969,-0.16907441899491732
307,-0.04222316105653754,-0.18930387375400465
308,-0.05851258653139688,-0.19946880286454652
309,-0.04378587262089208,-0.14310142046531674
310,-0.10006019237086836,-0.13657115378517376
311,-0.10022098026876965,-0.13692178450103065
312,-0.1009293952590065,-0.13704715538605342
313,-0.10223942092066775,-0.13517296751854285
314,-0.10408458124427254,-0.13519800693965092
315,-0.10377649932612482,-0.13492107858727337
316,-0.10341868558637439,-0.13604250383418454
317,-0.10219782340077807,-0.1359372624056862
318,-0.10083568837873748,-0.13641362026674053
319,-0.09962331572731292,-0.13644028763711316
320,-0.09884604867253513,-0.13570930128623418
321,-0.09864024045464871,-0.13595551517440316
322,-0.10110325836699587,-0.13643137097350624
323,-0.10152540305902268,-0.13642018760275393
324,-0.10090242634561886,-0.1381906225030416
325,-0.10166393341996233,-0.13954241090012234
326,-0.10121171783667422,-0.14029680882592901
327,-0.10242745117651246,-0.1410340071801212
328,-0.10356087702398634,-0.1414254022318709
329,-0.10400167417121724,-0.1416752398695745
330,-0.10238731257259964,-0.14112422529138055
331,-0.10113524690344125,-0.14075851870840766
332,-0.09768394220681027,-0.14076444368261423
333,-0.09866574508073558,-0.14197954433897153
334,-0.09959269118536224,-0.14158860346334795
335,-0.09981182906200095,-0.14154670448629003
336,-0.09898062627842466,-0.14229810740525248
337,-0.09881100156589631,-0.14425352640936487
338,-0.10062091505711065,-0.14330884170221198
339,-0.10079841787877643,-0.1426840197060923
340,-0.10328531315915447,-0.1449347751374662
341,-0.09983155125374468,-0.14336093596340505
342,-0.10124927286315566,-0.14122622323100106
343,-0.09680940115913152,-0.13971266013332945
344,-0.09161313850030509,-0.1375185996714351
345,-0.09183851874984589,-0.13672951728689928
346,-0.09217551895477517,-0.13331460503763043
347,-0.09023165975413613,-0.13341237514129758
348,-0.10675813711914083,-0.14797846169404458
349,-0.1160422574525232,-0.13926767713036145
350,-0.1203186955563897,-0.14637078114760782
351,-0.12072882774227768,-0.1468119032616996
352,-0.12058895230020673,-0.15261679549471727
353,-0.11716160702828891,-0.13910178465239398
354,-0.1093875632836327,-0.14523645484412756
355,-0.09467671511738568,-0.13272859389144412
356,-0.13337934447998956,-0.010198979493889626
357,-0.08987902203206298,-0.04015279919377565
358,-0.055389485155449066,-0.029764353703583032
359,0.015003028972543785,-0.012281470328133655
360,0.02417936789430871,0.020160713203384206
361,0.14015519398358506,0.09991278840152658
362,0.3994953584332859,0.06111830760757434
363,1.2118508303555002,0.08943358397550029
364,-0.04709977573516629,0.13718209394852784
365,0.4928219649315848,0.1281582981379386
366,0.23221231156832473,0.06602417312907824
367,0.06849035007537746,0.11163218721552023
368,0.05287990362645339,-0.0890452333220029
369,0.39798375477162456,0.037064758085017496
370,-0.007843121471259118,0.04901610272141525
371,-0.09368531438877624,0.06642984108737113
372,0.18649231803452246,0.11106411421588808
373,0.30010176821118606,0.3625048462771527
374,0.21601234259885432,0.4416382099423399
375,0.07868491757067722,0.16937829519132555
376,0.019347712888130354,0.05743708298758503
377,-0.003790115031656165,0.0007135892495210789
378,0.00976138941413894,0.003094883872922642
379,-0.12882592709598548,0.0002743470421642611
380,0.014893218398889914,0.003967306782017219
381,0.0218444099126024,0.007185219665843448
382,-0.11045889361397548,-0.14525892686875785
383,-0.10946837073224788,-0.15192485699522404
384,-0.1158211162834583,-0.14573614463811999
385,-0.11544276519482513,-0.1431045957873363
